ano,nivel,regiao,uf,sigla,capitulo,obitos,intervalo_codigos,descricao
2022,Estado,Região Centro-Oeste,Mato Grosso,MT,Cap I,2105,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Centro-Oeste,Goiás,GO,Cap I,4749,A00–B99,Algumas doenças infecciosas e parasitárias
2022,Estado,Região Centro-Oeste,Distrito Federal,DF,Cap I,1384,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Regiao,Região Norte,,,Cap I,5450,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Rondônia,RO,Cap I,489,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Acre,AC,Cap I,260,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Amazonas,AM,Cap I,1349,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Roraima,RR,Cap I,234,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Pará,PA,Cap I,2613,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Amapá,AP,Cap I,176,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Norte,Tocantins,TO,Cap I,329,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Regiao,Região Nordeste,,,Cap I,18766,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Maranhão,MA,Cap I,1867,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Piauí,PI,Cap I,932,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Ceará,CE,Cap I,3055,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Rio Grande do Norte,RN,Cap I,1095,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Paraíba,PB,Cap I,1393,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Pernambuco,PE,Cap I,3721,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Alagoas,AL,Cap I,1313,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Sergipe,SE,Cap I,657,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Nordeste,Bahia,BA,Cap I,4733,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Regiao,Região Sudeste,,,Cap I,34297,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Sudeste,Minas Gerais,MG,Cap I,8325,A00–B99,Algumas doenças infecciosas e parasitárias
2023,Estado,Região Sudeste,Espírito Santo,ES,Cap I,929,A00–B99,Algumas doenças infecciosas e parasitárias
